party_code,party_votes_2024,party_votes_2016,pct_2024,pct_2016
DEM,520690,552515,0.5234838332178838,0.6316254568442905
GRN,501,1096,5.036881838371388e-4,0.0012529279760754774
LIB,3138,2364,0.0031548373670278276,0.0027024833352576904
NLM,739,0,7.429652053006898e-4,0
OTH,7001,4980,0.007038564820446724,0.005693048650415947
REP,303745,189052,0.30537478522876593,0.2161209304133405
UNA,158849,104760,0.15970132597673786,0.11975979450152101
